Number,Day,Month,Year,Hour1,Hour2,Weekday,Holiday,Mod168,Day-Ahead Price PTF (TL/MWh),Forecast Demand/Supply,Temperature,Realized D/S(-24),Balancing market(-24),Realized Demand/Supply,Balancing Market Prices SMP (TL/MWh)
1,1,1,2013,0,0,2,1,24,145,0.626904054,4.434312434,,,0.611476879,52.99
2,1,1,2013,1,1,2,1,25,100.07,0.606567556,4.148418354,,,0.595657464,53
3,1,1,2013,2,2,2,1,26,63.99,0.570440739,3.9137593,,,0.563964878,20
4,1,1,2013,3,3,2,1,27,35,0.546115516,3.803179723,,,0.540945079,11.98
5,1,1,2013,4,4,2,1,28,0.53,0.530141105,3.688389242,,,0.529537559,0.49
6,1,1,2013,5,5,2,1,29,0.75,0.519234795,3.736561475,,,0.526408934,0.68
7,1,1,2013,6,6,2,1,30,35.06,0.524686643,4.310288225,,,0.532249742,9
8,1,1,2013,7,7,2,1,31,75,0.507660626,5.436588751,,,0.519050238,2.2
9,1,1,2013,8,8,2,1,32,118.99,0.52430265,6.600963973,,,0.550058678,8.99
10,1,1,2013,9,9,2,1,33,149.99,0.554640369,7.38842584,,,0.594351532,53
11,1,1,2013,10,10,2,1,34,170.79,0.600880494,8.066347591,,,0.627939149,78
12,1,1,2013,11,11,2,1,35,165.8,0.628229158,8.597618128,,,0.648138166,100
13,1,1,2013,12,12,2,1,36,163.12,0.654943358,8.821744504,,,0.659482701,78
14,1,1,2013,13,13,2,1,37,160.66,0.667846351,8.5802459,,,0.668276444,100
15,1,1,2013,14,14,2,1,38,165.8,0.670804811,7.84608438,,,0.674383327,100
16,1,1,2013,15,15,2,1,39,165.8,0.671710959,6.830565493,,,0.675534136,100
17,1,1,2013,16,16,2,1,40,184.99,0.703124793,6.055733291,,,0.714961169,184.99
18,1,1,2013,17,17,2,1,41,194.94,0.740529582,5.698435618,,,0.754748281,194.94
19,1,1,2013,18,18,2,1,42,185,0.741902888,5.323126398,,,0.748853906,185
20,1,1,2013,19,19,2,1,43,184.99,0.739250815,5.068835629,,,0.73329958,150
21,1,1,2013,20,20,2,1,44,178,0.725884675,4.760320805,,,0.722223345,150
22,1,1,2013,21,21,2,1,45,170.79,0.717264503,4.385274901,,,0.715838003,150
23,1,1,2013,22,22,2,1,46,170.99,0.708568654,3.953928722,,,0.72354218,175
